level,model,beta,accuracy,steps_mean,steps_std,hamming_mean,energy_start,energy_end,delta_energy
simple,classic,,0.92,2.0633333333333335,0.29323862107316095,0.014791666666666667,-8.024166666666666,-16.256666666666668,-8.232500000000002
simple,mhn,1.0,0.9833333333333333,2.82,0.5237047514264757,0.0025,-6.484187754103121,-15.955908686471824,-9.471720932368704
simple,mhn,2.0,0.9966666666666667,2.1766666666666667,0.39002848898794845,0.0016666666666666668,-6.467886394600778,-15.9878219119676,-9.519935517366822
simple,mhn,5.0,1.0,2.006666666666667,0.1412641340027806,0.0,-6.273795552539424,-15.98712876478704,-9.713333212247615
simple,mhn,10.0,0.9933333333333333,1.9933333333333334,0.08137703743822469,0.0016666666666666668,-6.460924196240747,-15.947590862907413,-9.486666666666666
medium,classic,,0.8966666666666666,2.0233333333333334,0.23690129214975217,0.021041666666666667,-7.6425,-15.51,-7.8675
medium,mhn,1.0,0.9966666666666667,2.73,0.5863161831867398,0.0010416666666666667,-6.425236626356999,-16.000000001058762,-9.574763374701764
medium,mhn,2.0,0.9933333333333333,2.1266666666666665,0.4802314256920534,0.002916666666666667,-6.662316086058507,-15.984488578634267,-9.32217249257576
medium,mhn,5.0,0.9966666666666667,1.99,0.09949874371066199,0.000625,-6.793795431466074,-15.983795431453705,-9.18999999998763
medium,mhn,10.0,0.9833333333333333,2.0,0.0,0.0046875,-6.0340264805138935,-15.934026480513895,-9.900000000000002
complex,classic,,0.9733333333333334,2.0433333333333334,0.23407026485414348,0.0069791666666666665,-7.175,-14.043333333333333,-6.868333333333333
complex,mhn,1.0,0.9966666666666667,2.51,0.8102880146384166,0.0016666666666666668,-6.300771335596521,-16.000000000000362,-9.69922866440384
complex,mhn,2.0,0.9966666666666667,2.09,0.5371840156470282,0.0007291666666666667,-6.183468255509677,-15.9778219119676,-9.794353656457924
complex,mhn,5.0,1.0,1.99,0.09949874371066199,0.0,-6.346666666670789,-16.0,-9.653333333329211
complex,mhn,10.0,0.9966666666666667,1.9933333333333334,0.08137703743822468,0.0007291666666666667,-6.49356438239352,-15.976897715726851,-9.48333333333333
