kind,id,x,y,source_memory
memory,M0,32.38273,125.20229,
memory,M1,-94.92588,-139.36353,
memory,M2,220.87439,-103.790634,
memory,M3,317.98492,-76.33655,
memory,M4,-220.76205,60.61329,
memory,M5,27.623644,3.9647572,
memory,M6,-54.92444,63.33321,
memory,M7,164.7572,101.428,
memory,M8,21.918451,-138.00134,
memory,M9,-117.3521,186.29251,
memory,M10,298.7642,-9.00659,
memory,M11,-168.10086,-6.5922713,
corrupted,C0,-57.884346,-178.02568,1.0
classic_recovered,CL0,-141.69557,122.85429,1.0
mhn_recovered,MHN0,-139.3758,-176.75674,1.0
corrupted,C1,-74.3469,211.92474,9.0
classic_recovered,CL1,-141.69557,122.85429,9.0
mhn_recovered,MHN1,-151.50684,189.56668,9.0
corrupted,C2,-78.9091,19.195065,6.0
classic_recovered,CL2,-171.86931,63.652905,6.0
mhn_recovered,MHN2,-67.84464,94.00312,6.0
corrupted,C3,-15.535216,101.60577,6.0
classic_recovered,CL3,65.377914,116.32122,6.0
mhn_recovered,MHN3,-88.46616,67.69072,6.0
corrupted,C4,-138.90492,234.28374,9.0
classic_recovered,CL4,-171.86931,63.652905,9.0
mhn_recovered,MHN4,-117.3521,186.29251,9.0
corrupted,C5,188.54414,-70.49382,2.0
classic_recovered,CL5,234.90656,6.6705384,2.0
mhn_recovered,MHN5,255.46617,-106.23405,2.0
corrupted,C6,67.28937,-141.31874,8.0
classic_recovered,CL6,206.02675,-11.433466,8.0
mhn_recovered,MHN6,28.192421,-163.48897,8.0
corrupted,C7,229.70575,-145.28987,2.0
classic_recovered,CL7,277.46066,-44.304897,2.0
mhn_recovered,MHN7,240.03159,-77.403,2.0
corrupted,C8,-218.95047,-41.00896,4.0
classic_recovered,CL8,-136.40428,-45.893684,4.0
mhn_recovered,MHN8,-177.09338,-31.62374,4.0
corrupted,C9,-111.993866,-212.25812,1.0
classic_recovered,CL9,-103.75941,-172.63454,1.0
mhn_recovered,MHN9,-130.63115,-142.63289,1.0
corrupted,C10,68.75336,21.871975,5.0
classic_recovered,CL10,20.110956,-27.688686,5.0
mhn_recovered,MHN10,51.96655,-20.094276,5.0
corrupted,C11,188.46725,65.30279,7.0
classic_recovered,CL11,206.02675,-11.433466,7.0
mhn_recovered,MHN11,190.4732,108.86396,7.0
